rank,cost,is_optimal,is_second_best,node_path,edge_path,edge_bitstring
1,10,True,False,0->1->2->4->5->6,0->1 | 1->2 | 2->4 | 4->5 | 5->6,10010001000101
2,11,False,True,0->1->2->3->4->5->6,0->1 | 1->2 | 2->3 | 3->4 | 4->5 | 5->6,10010010010101
3,11,False,True,0->1->2->3->5->6,0->1 | 1->2 | 2->3 | 3->5 | 5->6,10010010001001
4,11,False,True,0->1->2->4->6,0->1 | 1->2 | 2->4 | 4->6,10010001000010
5,11,False,True,0->2->4->5->6,0->2 | 2->4 | 4->5 | 5->6,01000001000101
6,12,False,False,0->1->2->3->4->6,0->1 | 1->2 | 2->3 | 3->4 | 4->6,10010010010010
7,12,False,False,0->1->2->5->6,0->1 | 1->2 | 2->5 | 5->6,10010000100001
8,12,False,False,0->1->3->4->5->6,0->1 | 1->3 | 3->4 | 4->5 | 5->6,10001000010101
9,12,False,False,0->1->3->5->6,0->1 | 1->3 | 3->5 | 5->6,10001000001001
10,12,False,False,0->2->3->4->5->6,0->2 | 2->3 | 3->4 | 4->5 | 5->6,01000010010101
11,12,False,False,0->2->3->5->6,0->2 | 2->3 | 3->5 | 5->6,01000010001001
12,12,False,False,0->2->4->6,0->2 | 2->4 | 4->6,01000001000010
13,13,False,False,0->1->3->4->6,0->1 | 1->3 | 3->4 | 4->6,10001000010010
14,13,False,False,0->1->4->5->6,0->1 | 1->4 | 4->5 | 5->6,10000100000101
15,13,False,False,0->2->3->4->6,0->2 | 2->3 | 3->4 | 4->6,01000010010010
16,13,False,False,0->2->5->6,0->2 | 2->5 | 5->6,01000000100001
17,13,False,False,0->3->4->5->6,0->3 | 3->4 | 4->5 | 5->6,00100000010101
18,13,False,False,0->3->5->6,0->3 | 3->5 | 5->6,00100000001001
19,14,False,False,0->1->4->6,0->1 | 1->4 | 4->6,10000100000010
20,14,False,False,0->3->4->6,0->3 | 3->4 | 4->6,00100000010010
