algorithm,objective_kind,alpha,n,median_p_opt,p_opt_q25,p_opt_q75,median_p_feas,p_feas_q25,p_feas_q75,median_p_opt_given_feas,median_expected_feasible_route_cost
global_grover,cvar_0.05,0.05,10,0.002206785234971786,0.0017447461434501167,0.002992501366423611,0.04156790932149251,0.034555826691655994,0.053942976196224825,0.05310294702408948,12.142496373576835
global_grover,cvar_0.10,0.1,10,0.0022637207804591837,0.0018845597661752418,0.002667973031020563,0.042651160673691124,0.03843205485305648,0.052665259714494775,0.051084027158985176,12.193392413760098
global_grover,cvar_0.25,0.25,10,0.0013030246356398696,0.001098054530519304,0.001882606552778715,0.02657349590489449,0.02271983322462583,0.03853917165300151,0.0490102489214353,12.17546002454587
global_grover,cvar_0.50,0.5,10,0.0011863604485949889,0.0009965258712949635,0.0013340137994065433,0.02301830290236067,0.020534125400187953,0.02693794513989123,0.04826574326163162,12.17259036113942
global_grover,expectation,1.0,10,0.0005464230654687013,0.0004902974347650521,0.0006318895042712488,0.01014102415574825,0.009140559549710672,0.012217664793923728,0.053647074733172206,12.182601916932093
penalty_x,cvar_0.05,0.05,10,0.00031859911698247116,0.00017970478705266158,0.0006672335855368041,0.009699698718098313,0.008835926707419868,0.010467714615153636,0.03230025725960047,11.966517786520885
penalty_x,cvar_0.10,0.1,10,0.00027266549929379604,7.784121988633095e-05,0.00047649844120314325,0.005136151939542358,0.0049490586839253245,0.00549047928793216,0.05437504352557302,12.064421914285157
penalty_x,cvar_0.25,0.25,10,7.9387161502068e-05,5.759553046025666e-05,0.0002562765387407218,0.003004779999129654,0.002626518216470238,0.0033033497025875685,0.026662833962772393,12.214577497252947
penalty_x,cvar_0.50,0.5,10,9.302639795384133e-05,4.9676619070266855e-05,0.00015301021859096927,0.002329682938923147,0.0021062532233735863,0.0026124279468859603,0.04384259143634843,12.224422891832964
penalty_x,expectation,1.0,10,5.5089965349349666e-05,4.366073439779397e-05,0.00015449626421505135,0.0014475674250602076,0.0012044852303549675,0.0018432085881891578,0.0439571137478043,12.208181451670463
