state_index,basis_state,penalized_energy,feasibility,decoded_route_id,decoded_route,true_route_cost,is_optimal_route
0,00000000000000,12.0,False,,,,False
1,10000000000000,14.0,False,,,,False
2,01000000000000,16.0,False,,,,False
3,11000000000000,30.0,False,,,,False
4,00100000000000,19.0,False,,,,False
5,10100000000000,33.0,False,,,,False
6,01100000000000,35.0,False,,,,False
7,11100000000000,61.0,False,,,,False
8,00010000000000,25.0,False,,,,False
9,10010000000000,15.0,False,,,,False
10,01010000000000,41.0,False,,,,False
11,11010000000000,43.0,False,,,,False
12,00110000000000,32.0,False,,,,False
13,10110000000000,34.0,False,,,,False
14,01110000000000,60.0,False,,,,False
15,11110000000000,74.0,False,,,,False
16,00001000000000,28.0,False,,,,False
17,10001000000000,18.0,False,,,,False
18,01001000000000,32.0,False,,,,False
19,11001000000000,34.0,False,,,,False
20,00101000000000,47.0,False,,,,False
21,10101000000000,49.0,False,,,,False
22,01101000000000,63.0,False,,,,False
23,11101000000000,77.0,False,,,,False
24,00011000000000,53.0,False,,,,False
25,10011000000000,31.0,False,,,,False
26,01011000000000,69.0,False,,,,False
27,11011000000000,59.0,False,,,,False
28,00111000000000,72.0,False,,,,False
29,10111000000000,62.0,False,,,,False
30,01111000000000,100.0,False,,,,False
31,11111000000000,102.0,False,,,,False
32,00000100000000,31.0,False,,,,False
33,10000100000000,21.0,False,,,,False
34,01000100000000,35.0,False,,,,False
35,11000100000000,37.0,False,,,,False
36,00100100000000,38.0,False,,,,False
37,10100100000000,40.0,False,,,,False
38,01100100000000,54.0,False,,,,False
39,11100100000000,68.0,False,,,,False
40,00010100000000,56.0,False,,,,False
41,10010100000000,34.0,False,,,,False
42,01010100000000,72.0,False,,,,False
43,11010100000000,62.0,False,,,,False
44,00110100000000,63.0,False,,,,False
45,10110100000000,53.0,False,,,,False
46,01110100000000,91.0,False,,,,False
47,11110100000000,93.0,False,,,,False
48,00001100000000,59.0,False,,,,False
49,10001100000000,37.0,False,,,,False
50,01001100000000,63.0,False,,,,False
51,11001100000000,53.0,False,,,,False
52,00101100000000,78.0,False,,,,False
53,10101100000000,68.0,False,,,,False
54,01101100000000,94.0,False,,,,False
55,11101100000000,96.0,False,,,,False
56,00011100000000,96.0,False,,,,False
57,10011100000000,62.0,False,,,,False
58,01011100000000,112.0,False,,,,False
59,11011100000000,90.0,False,,,,False
60,00111100000000,115.0,False,,,,False
61,10111100000000,93.0,False,,,,False
62,01111100000000,143.0,False,,,,False
63,11111100000000,133.0,False,,,,False
64,00000010000000,26.0,False,,,,False
65,10000010000000,28.0,False,,,,False
66,01000010000000,18.0,False,,,,False
67,11000010000000,32.0,False,,,,False
68,00100010000000,45.0,False,,,,False
69,10100010000000,59.0,False,,,,False
70,01100010000000,49.0,False,,,,False
71,11100010000000,75.0,False,,,,False
72,00010010000000,27.0,False,,,,False
73,10010010000000,17.0,False,,,,False
74,01010010000000,31.0,False,,,,False
75,11010010000000,33.0,False,,,,False
76,00110010000000,46.0,False,,,,False
77,10110010000000,48.0,False,,,,False
78,01110010000000,62.0,False,,,,False
79,11110010000000,76.0,False,,,,False
80,00001010000000,54.0,False,,,,False
81,10001010000000,44.0,False,,,,False
82,01001010000000,46.0,False,,,,False
83,11001010000000,48.0,False,,,,False
84,00101010000000,85.0,False,,,,False
85,10101010000000,87.0,False,,,,False
86,01101010000000,89.0,False,,,,False
87,11101010000000,103.0,False,,,,False
88,00011010000000,67.0,False,,,,False
89,10011010000000,45.0,False,,,,False
90,01011010000000,71.0,False,,,,False
91,11011010000000,61.0,False,,,,False
92,00111010000000,98.0,False,,,,False
93,10111010000000,88.0,False,,,,False
94,01111010000000,114.0,False,,,,False
95,11111010000000,116.0,False,,,,False
96,00000110000000,45.0,False,,,,False
97,10000110000000,35.0,False,,,,False
98,01000110000000,37.0,False,,,,False
99,11000110000000,39.0,False,,,,False
100,00100110000000,64.0,False,,,,False
101,10100110000000,66.0,False,,,,False
102,01100110000000,68.0,False,,,,False
103,11100110000000,82.0,False,,,,False
104,00010110000000,58.0,False,,,,False
105,10010110000000,36.0,False,,,,False
106,01010110000000,62.0,False,,,,False
107,11010110000000,52.0,False,,,,False
108,00110110000000,77.0,False,,,,False
109,10110110000000,67.0,False,,,,False
110,01110110000000,93.0,False,,,,False
111,11110110000000,95.0,False,,,,False
112,00001110000000,85.0,False,,,,False
113,10001110000000,63.0,False,,,,False
114,01001110000000,77.0,False,,,,False
115,11001110000000,67.0,False,,,,False
116,00101110000000,116.0,False,,,,False
117,10101110000000,106.0,False,,,,False
118,01101110000000,120.0,False,,,,False
119,11101110000000,122.0,False,,,,False
120,00011110000000,110.0,False,,,,False
121,10011110000000,76.0,False,,,,False
122,01011110000000,114.0,False,,,,False
123,11011110000000,92.0,False,,,,False
124,00111110000000,141.0,False,,,,False
125,10111110000000,119.0,False,,,,False
126,01111110000000,157.0,False,,,,False
127,11111110000000,147.0,False,,,,False
128,00000001000000,27.0,False,,,,False
129,10000001000000,29.0,False,,,,False
130,01000001000000,19.0,False,,,,False
131,11000001000000,33.0,False,,,,False
132,00100001000000,34.0,False,,,,False
133,10100001000000,48.0,False,,,,False
134,01100001000000,38.0,False,,,,False
135,11100001000000,64.0,False,,,,False
136,00010001000000,28.0,False,,,,False
137,10010001000000,18.0,False,,,,False
138,01010001000000,32.0,False,,,,False
139,11010001000000,34.0,False,,,,False
140,00110001000000,35.0,False,,,,False
141,10110001000000,37.0,False,,,,False
142,01110001000000,51.0,False,,,,False
143,11110001000000,65.0,False,,,,False
144,00001001000000,43.0,False,,,,False
145,10001001000000,33.0,False,,,,False
146,01001001000000,35.0,False,,,,False
147,11001001000000,37.0,False,,,,False
148,00101001000000,62.0,False,,,,False
149,10101001000000,64.0,False,,,,False
150,01101001000000,66.0,False,,,,False
151,11101001000000,80.0,False,,,,False
152,00011001000000,56.0,False,,,,False
153,10011001000000,34.0,False,,,,False
154,01011001000000,60.0,False,,,,False
155,11011001000000,50.0,False,,,,False
156,00111001000000,75.0,False,,,,False
157,10111001000000,65.0,False,,,,False
158,01111001000000,91.0,False,,,,False
159,11111001000000,93.0,False,,,,False
160,00000101000000,58.0,False,,,,False
161,10000101000000,48.0,False,,,,False
162,01000101000000,50.0,False,,,,False
163,11000101000000,52.0,False,,,,False
164,00100101000000,65.0,False,,,,False
165,10100101000000,67.0,False,,,,False
166,01100101000000,69.0,False,,,,False
167,11100101000000,83.0,False,,,,False
168,00010101000000,71.0,False,,,,False
169,10010101000000,49.0,False,,,,False
170,01010101000000,75.0,False,,,,False
171,11010101000000,65.0,False,,,,False
172,00110101000000,78.0,False,,,,False
173,10110101000000,68.0,False,,,,False
174,01110101000000,94.0,False,,,,False
175,11110101000000,96.0,False,,,,False
176,00001101000000,86.0,False,,,,False
177,10001101000000,64.0,False,,,,False
178,01001101000000,78.0,False,,,,False
179,11001101000000,68.0,False,,,,False
180,00101101000000,105.0,False,,,,False
181,10101101000000,95.0,False,,,,False
182,01101101000000,109.0,False,,,,False
183,11101101000000,111.0,False,,,,False
184,00011101000000,111.0,False,,,,False
185,10011101000000,77.0,False,,,,False
186,01011101000000,115.0,False,,,,False
187,11011101000000,93.0,False,,,,False
188,00111101000000,130.0,False,,,,False
189,10111101000000,108.0,False,,,,False
190,01111101000000,146.0,False,,,,False
191,11111101000000,136.0,False,,,,False
192,00000011000000,53.0,False,,,,False
193,10000011000000,55.0,False,,,,False
194,01000011000000,33.0,False,,,,False
195,11000011000000,47.0,False,,,,False
196,00100011000000,72.0,False,,,,False
197,10100011000000,86.0,False,,,,False
198,01100011000000,64.0,False,,,,False
199,11100011000000,90.0,False,,,,False
200,00010011000000,42.0,False,,,,False
201,10010011000000,32.0,False,,,,False
202,01010011000000,34.0,False,,,,False
203,11010011000000,36.0,False,,,,False
204,00110011000000,61.0,False,,,,False
205,10110011000000,63.0,False,,,,False
206,01110011000000,65.0,False,,,,False
207,11110011000000,79.0,False,,,,False
208,00001011000000,81.0,False,,,,False
209,10001011000000,71.0,False,,,,False
210,01001011000000,61.0,False,,,,False
211,11001011000000,63.0,False,,,,False
212,00101011000000,112.0,False,,,,False
213,10101011000000,114.0,False,,,,False
214,01101011000000,104.0,False,,,,False
215,11101011000000,118.0,False,,,,False
216,00011011000000,82.0,False,,,,False
217,10011011000000,60.0,False,,,,False
218,01011011000000,74.0,False,,,,False
219,11011011000000,64.0,False,,,,False
220,00111011000000,113.0,False,,,,False
221,10111011000000,103.0,False,,,,False
222,01111011000000,117.0,False,,,,False
223,11111011000000,119.0,False,,,,False
224,00000111000000,84.0,False,,,,False
225,10000111000000,74.0,False,,,,False
226,01000111000000,64.0,False,,,,False
227,11000111000000,66.0,False,,,,False
228,00100111000000,103.0,False,,,,False
229,10100111000000,105.0,False,,,,False
230,01100111000000,95.0,False,,,,False
231,11100111000000,109.0,False,,,,False
232,00010111000000,85.0,False,,,,False
233,10010111000000,63.0,False,,,,False
234,01010111000000,77.0,False,,,,False
235,11010111000000,67.0,False,,,,False
236,00110111000000,104.0,False,,,,False
237,10110111000000,94.0,False,,,,False
238,01110111000000,108.0,False,,,,False
239,11110111000000,110.0,False,,,,False
240,00001111000000,124.0,False,,,,False
241,10001111000000,102.0,False,,,,False
242,01001111000000,104.0,False,,,,False
243,11001111000000,94.0,False,,,,False
244,00101111000000,155.0,False,,,,False
245,10101111000000,145.0,False,,,,False
246,01101111000000,147.0,False,,,,False
247,11101111000000,149.0,False,,,,False
248,00011111000000,137.0,False,,,,False
249,10011111000000,103.0,False,,,,False
250,01011111000000,129.0,False,,,,False
251,11011111000000,107.0,False,,,,False
252,00111111000000,168.0,False,,,,False
253,10111111000000,146.0,False,,,,False
254,01111111000000,172.0,False,,,,False
255,11111111000000,162.0,False,,,,False
256,00000000100000,31.0,False,,,,False
257,10000000100000,33.0,False,,,,False
258,01000000100000,23.0,False,,,,False
259,11000000100000,37.0,False,,,,False
260,00100000100000,38.0,False,,,,False
261,10100000100000,52.0,False,,,,False
262,01100000100000,42.0,False,,,,False
263,11100000100000,68.0,False,,,,False
264,00010000100000,32.0,False,,,,False
265,10010000100000,22.0,False,,,,False
266,01010000100000,36.0,False,,,,False
267,11010000100000,38.0,False,,,,False
268,00110000100000,39.0,False,,,,False
269,10110000100000,41.0,False,,,,False
270,01110000100000,55.0,False,,,,False
271,11110000100000,69.0,False,,,,False
272,00001000100000,47.0,False,,,,False
273,10001000100000,37.0,False,,,,False
274,01001000100000,39.0,False,,,,False
275,11001000100000,41.0,False,,,,False
276,00101000100000,66.0,False,,,,False
277,10101000100000,68.0,False,,,,False
278,01101000100000,70.0,False,,,,False
279,11101000100000,84.0,False,,,,False
280,00011000100000,60.0,False,,,,False
281,10011000100000,38.0,False,,,,False
282,01011000100000,64.0,False,,,,False
283,11011000100000,54.0,False,,,,False
284,00111000100000,79.0,False,,,,False
285,10111000100000,69.0,False,,,,False
286,01111000100000,95.0,False,,,,False
287,11111000100000,97.0,False,,,,False
288,00000100100000,50.0,False,,,,False
289,10000100100000,40.0,False,,,,False
290,01000100100000,42.0,False,,,,False
291,11000100100000,44.0,False,,,,False
292,00100100100000,57.0,False,,,,False
293,10100100100000,59.0,False,,,,False
294,01100100100000,61.0,False,,,,False
295,11100100100000,75.0,False,,,,False
296,00010100100000,63.0,False,,,,False
297,10010100100000,41.0,False,,,,False
298,01010100100000,67.0,False,,,,False
299,11010100100000,57.0,False,,,,False
300,00110100100000,70.0,False,,,,False
301,10110100100000,60.0,False,,,,False
302,01110100100000,86.0,False,,,,False
303,11110100100000,88.0,False,,,,False
304,00001100100000,78.0,False,,,,False
305,10001100100000,56.0,False,,,,False
306,01001100100000,70.0,False,,,,False
307,11001100100000,60.0,False,,,,False
308,00101100100000,97.0,False,,,,False
309,10101100100000,87.0,False,,,,False
310,01101100100000,101.0,False,,,,False
311,11101100100000,103.0,False,,,,False
312,00011100100000,103.0,False,,,,False
313,10011100100000,69.0,False,,,,False
314,01011100100000,107.0,False,,,,False
315,11011100100000,85.0,False,,,,False
316,00111100100000,122.0,False,,,,False
317,10111100100000,100.0,False,,,,False
318,01111100100000,138.0,False,,,,False
319,11111100100000,128.0,False,,,,False
320,00000010100000,57.0,False,,,,False
321,10000010100000,59.0,False,,,,False
322,01000010100000,37.0,False,,,,False
323,11000010100000,51.0,False,,,,False
324,00100010100000,76.0,False,,,,False
325,10100010100000,90.0,False,,,,False
326,01100010100000,68.0,False,,,,False
327,11100010100000,94.0,False,,,,False
328,00010010100000,46.0,False,,,,False
329,10010010100000,36.0,False,,,,False
330,01010010100000,38.0,False,,,,False
331,11010010100000,40.0,False,,,,False
332,00110010100000,65.0,False,,,,False
333,10110010100000,67.0,False,,,,False
334,01110010100000,69.0,False,,,,False
335,11110010100000,83.0,False,,,,False
336,00001010100000,85.0,False,,,,False
337,10001010100000,75.0,False,,,,False
338,01001010100000,65.0,False,,,,False
339,11001010100000,67.0,False,,,,False
340,00101010100000,116.0,False,,,,False
341,10101010100000,118.0,False,,,,False
342,01101010100000,108.0,False,,,,False
343,11101010100000,122.0,False,,,,False
344,00011010100000,86.0,False,,,,False
345,10011010100000,64.0,False,,,,False
346,01011010100000,78.0,False,,,,False
347,11011010100000,68.0,False,,,,False
348,00111010100000,117.0,False,,,,False
349,10111010100000,107.0,False,,,,False
350,01111010100000,121.0,False,,,,False
351,11111010100000,123.0,False,,,,False
352,00000110100000,76.0,False,,,,False
353,10000110100000,66.0,False,,,,False
354,01000110100000,56.0,False,,,,False
355,11000110100000,58.0,False,,,,False
356,00100110100000,95.0,False,,,,False
357,10100110100000,97.0,False,,,,False
358,01100110100000,87.0,False,,,,False
359,11100110100000,101.0,False,,,,False
360,00010110100000,77.0,False,,,,False
361,10010110100000,55.0,False,,,,False
362,01010110100000,69.0,False,,,,False
363,11010110100000,59.0,False,,,,False
364,00110110100000,96.0,False,,,,False
365,10110110100000,86.0,False,,,,False
366,01110110100000,100.0,False,,,,False
367,11110110100000,102.0,False,,,,False
368,00001110100000,116.0,False,,,,False
369,10001110100000,94.0,False,,,,False
370,01001110100000,96.0,False,,,,False
371,11001110100000,86.0,False,,,,False
372,00101110100000,147.0,False,,,,False
373,10101110100000,137.0,False,,,,False
374,01101110100000,139.0,False,,,,False
375,11101110100000,141.0,False,,,,False
376,00011110100000,129.0,False,,,,False
377,10011110100000,95.0,False,,,,False
378,01011110100000,121.0,False,,,,False
379,11011110100000,99.0,False,,,,False
380,00111110100000,160.0,False,,,,False
381,10111110100000,138.0,False,,,,False
382,01111110100000,164.0,False,,,,False
383,11111110100000,154.0,False,,,,False
384,00000001100000,58.0,False,,,,False
385,10000001100000,60.0,False,,,,False
386,01000001100000,38.0,False,,,,False
387,11000001100000,52.0,False,,,,False
388,00100001100000,65.0,False,,,,False
389,10100001100000,79.0,False,,,,False
390,01100001100000,57.0,False,,,,False
391,11100001100000,83.0,False,,,,False
392,00010001100000,47.0,False,,,,False
393,10010001100000,37.0,False,,,,False
394,01010001100000,39.0,False,,,,False
395,11010001100000,41.0,False,,,,False
396,00110001100000,54.0,False,,,,False
397,10110001100000,56.0,False,,,,False
398,01110001100000,58.0,False,,,,False
399,11110001100000,72.0,False,,,,False
400,00001001100000,74.0,False,,,,False
401,10001001100000,64.0,False,,,,False
402,01001001100000,54.0,False,,,,False
403,11001001100000,56.0,False,,,,False
404,00101001100000,93.0,False,,,,False
405,10101001100000,95.0,False,,,,False
406,01101001100000,85.0,False,,,,False
407,11101001100000,99.0,False,,,,False
408,00011001100000,75.0,False,,,,False
409,10011001100000,53.0,False,,,,False
410,01011001100000,67.0,False,,,,False
411,11011001100000,57.0,False,,,,False
412,00111001100000,94.0,False,,,,False
413,10111001100000,84.0,False,,,,False
414,01111001100000,98.0,False,,,,False
415,11111001100000,100.0,False,,,,False
416,00000101100000,89.0,False,,,,False
417,10000101100000,79.0,False,,,,False
418,01000101100000,69.0,False,,,,False
419,11000101100000,71.0,False,,,,False
420,00100101100000,96.0,False,,,,False
421,10100101100000,98.0,False,,,,False
422,01100101100000,88.0,False,,,,False
423,11100101100000,102.0,False,,,,False
424,00010101100000,90.0,False,,,,False
425,10010101100000,68.0,False,,,,False
426,01010101100000,82.0,False,,,,False
427,11010101100000,72.0,False,,,,False
428,00110101100000,97.0,False,,,,False
429,10110101100000,87.0,False,,,,False
430,01110101100000,101.0,False,,,,False
431,11110101100000,103.0,False,,,,False
432,00001101100000,117.0,False,,,,False
433,10001101100000,95.0,False,,,,False
434,01001101100000,97.0,False,,,,False
435,11001101100000,87.0,False,,,,False
436,00101101100000,136.0,False,,,,False
437,10101101100000,126.0,False,,,,False
438,01101101100000,128.0,False,,,,False
439,11101101100000,130.0,False,,,,False
440,00011101100000,130.0,False,,,,False
441,10011101100000,96.0,False,,,,False
442,01011101100000,122.0,False,,,,False
443,11011101100000,100.0,False,,,,False
444,00111101100000,149.0,False,,,,False
445,10111101100000,127.0,False,,,,False
446,01111101100000,153.0,False,,,,False
447,11111101100000,143.0,False,,,,False
448,00000011100000,96.0,False,,,,False
449,10000011100000,98.0,False,,,,False
450,01000011100000,64.0,False,,,,False
451,11000011100000,78.0,False,,,,False
452,00100011100000,115.0,False,,,,False
453,10100011100000,129.0,False,,,,False
454,01100011100000,95.0,False,,,,False
455,11100011100000,121.0,False,,,,False
456,00010011100000,73.0,False,,,,False
457,10010011100000,63.0,False,,,,False
458,01010011100000,53.0,False,,,,False
459,11010011100000,55.0,False,,,,False
460,00110011100000,92.0,False,,,,False
461,10110011100000,94.0,False,,,,False
462,01110011100000,84.0,False,,,,False
463,11110011100000,98.0,False,,,,False
464,00001011100000,124.0,False,,,,False
465,10001011100000,114.0,False,,,,False
466,01001011100000,92.0,False,,,,False
467,11001011100000,94.0,False,,,,False
468,00101011100000,155.0,False,,,,False
469,10101011100000,157.0,False,,,,False
470,01101011100000,135.0,False,,,,False
471,11101011100000,149.0,False,,,,False
472,00011011100000,113.0,False,,,,False
473,10011011100000,91.0,False,,,,False
474,01011011100000,93.0,False,,,,False
475,11011011100000,83.0,False,,,,False
476,00111011100000,144.0,False,,,,False
477,10111011100000,134.0,False,,,,False
478,01111011100000,136.0,False,,,,False
479,11111011100000,138.0,False,,,,False
480,00000111100000,127.0,False,,,,False
481,10000111100000,117.0,False,,,,False
482,01000111100000,95.0,False,,,,False
