algorithm,depth,objective_kind,optimizer_status,row_count,converged_early_count,budget_exhausted_count,median_actual_evals,median_final_objective
global_grover,50,cvar_0.10,EVALUATION_BUDGET_EXHAUSTED,5,0,5,2500.0,19.951718552186186
global_grover,50,expectation,EVALUATION_BUDGET_EXHAUSTED,5,0,5,2500.0,54.31830353891087
global_grover,100,cvar_0.10,EVALUATION_BUDGET_EXHAUSTED,5,0,5,5000.0,16.913871182763344
global_grover,100,expectation,EVALUATION_BUDGET_EXHAUSTED,5,0,5,5000.0,50.154413573656825
global_grover,110,cvar_0.05,EVALUATION_BUDGET_EXHAUSTED,10,0,10,5500.0,12.451758907976611
global_grover,110,cvar_0.10,EVALUATION_BUDGET_EXHAUSTED,10,0,10,5500.0,15.423985772494522
global_grover,110,cvar_0.25,EVALUATION_BUDGET_EXHAUSTED,10,0,10,5500.0,22.761558810384813
global_grover,110,cvar_0.50,EVALUATION_BUDGET_EXHAUSTED,10,0,10,5500.0,27.785776473855897
global_grover,110,expectation,EVALUATION_BUDGET_EXHAUSTED,10,0,10,5500.0,45.85005069526477
penalty_x,50,cvar_0.10,EVALUATION_BUDGET_EXHAUSTED,5,0,5,2500.0,31.28028332334468
penalty_x,50,expectation,EVALUATION_BUDGET_EXHAUSTED,5,0,5,2500.0,82.7625213903996
penalty_x,100,cvar_0.10,EVALUATION_BUDGET_EXHAUSTED,5,0,5,5000.0,29.643701599550056
penalty_x,100,expectation,EVALUATION_BUDGET_EXHAUSTED,5,0,5,5000.0,81.31678879967345
penalty_x,110,cvar_0.05,EVALUATION_BUDGET_EXHAUSTED,10,0,10,5500.0,22.753590459222604
penalty_x,110,cvar_0.10,EVALUATION_BUDGET_EXHAUSTED,10,0,10,5500.0,29.35065751161951
penalty_x,110,cvar_0.25,EVALUATION_BUDGET_EXHAUSTED,10,0,10,5500.0,40.95594433916816
penalty_x,110,cvar_0.50,EVALUATION_BUDGET_EXHAUSTED,10,0,10,5500.0,54.15833207281369
penalty_x,110,expectation,EVALUATION_BUDGET_EXHAUSTED,10,0,10,5500.0,81.24708161806481
