algorithm,depth,seed,representation,search_dimension,mixer_type,parameter_count,initialization_source,evaluation_budget,evaluation_budget_used,optimizer_reason,optimizer_success,optimizer_wall_time_seconds,p_feas,p_opt,invalid_mass,expected_cost_full,expected_cost_feasible,feasible_conditional_p_opt,normalized_regret,bsp
penalty_x,1,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),2,depth_derived_seed,83,29,converged,True,0.1292566999909468,0.0012207031249999998,6.1035156249999986e-05,0.9987792968749998,25.999999999999996,12.2,0.049999999999999996,1.5999999999999996,nan
penalty_x,2,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),4,continuation_from_p1_plus_seed_small_angle,86,86,evaluation_budget_exhausted,False,0.5182061999803409,0.0012205452967007553,6.102708732807018e-05,0.9987794547032992,26.000229381743566,12.200001401441545,0.04999985456748876,1.6000229381743565,nan
penalty_x,3,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),6,continuation_from_p2_plus_seed_small_angle,89,89,evaluation_budget_exhausted,False,0.6252048999886028,0.0012203918214975888,6.1019240972945916e-05,0.9987796081785024,26.000452467354716,12.200002764452739,0.049999713123336814,1.6000452467354715,nan
penalty_x,4,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),8,continuation_from_p3_plus_seed_small_angle,92,92,evaluation_budget_exhausted,False,0.9034867000300437,0.0012201818066414718,6.1008504076562686e-05,0.9987798181933585,26.00075778570369,12.200004629956712,0.049999519534295864,1.600075778570369,nan
penalty_x,5,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),10,continuation_from_p4_plus_seed_small_angle,95,95,evaluation_budget_exhausted,False,0.9703045999631286,0.001220047586303721,6.1001642152642876e-05,0.9987799524136962,26.000952939317802,12.200005822391017,0.04999939579197447,1.6000952939317803,nan
penalty_x,6,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),12,continuation_from_p5_plus_seed_small_angle,98,98,evaluation_budget_exhausted,False,1.0373446999583393,0.0012203980307397624,6.1019558417357514e-05,0.9987796019692603,26.00044344238117,12.200002709305652,0.049999718846128915,1.600044344238117,nan
penalty_x,7,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),14,continuation_from_p6_plus_seed_small_angle,101,101,evaluation_budget_exhausted,False,1.2317449999973178,0.001220156007657883,6.100718513147499e-05,0.9987798439923422,26.000795274238012,12.200004859052758,0.049999495760037815,1.600079527423801,nan
penalty_x,8,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),16,continuation_from_p7_plus_seed_small_angle,104,104,evaluation_budget_exhausted,False,1.0055690999724902,0.0012194034857172808,6.0968713145585014e-05,0.9987805965142826,26.001889707862926,12.200011546777299,0.04999880175815787,1.6001889707862926,nan
penalty_x,9,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),18,continuation_from_p8_plus_seed_small_angle,107,107,evaluation_budget_exhausted,False,0.9837974000256509,0.0012203120421554379,6.1015162297329646e-05,0.9987796879578446,26.000568432576053,12.200003473030092,0.04999963959181992,1.6000568432576052,nan
penalty_x,10,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),20,continuation_from_p9_plus_seed_small_angle,110,110,evaluation_budget_exhausted,False,1.3361955999862403,0.0012203861847487644,6.101895279658455e-05,0.9987796138152513,26.00046065856616,12.200002814517445,0.04999970792781979,1.6000460658566158,nan
penalty_x,11,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),22,continuation_from_p10_plus_seed_small_angle,113,113,evaluation_budget_exhausted,False,1.6636993000283837,0.001219399026830489,6.096848492401447e-05,0.9987806009731695,26.001896439198173,12.200011588498661,0.04999879742604536,1.6001896439198173,nan
penalty_x,12,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),24,continuation_from_p11_plus_seed_small_angle,116,116,evaluation_budget_exhausted,False,1.70184860000154,0.0012186637097662172,6.093089323139842e-05,0.9987813362902338,26.002966019312925,12.2000181257909,0.04999811904063929,1.6002966019312925,nan
penalty_x,13,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),26,continuation_from_p12_plus_seed_small_angle,119,119,evaluation_budget_exhausted,False,2.115892200032249,0.0012185386793410714,6.09245012735909e-05,0.9987814613206589,26.003148020316196,12.200019238268114,0.049998003597666686,1.6003148020316196,nan
penalty_x,14,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),28,continuation_from_p13_plus_seed_small_angle,122,122,evaluation_budget_exhausted,False,2.151911300024949,0.0012180453835744164,6.089928232724595e-05,0.9987819546164258,26.00386651833297,12.20002363030994,0.049997547832359,1.600386651833297,nan
penalty_x,15,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),30,continuation_from_p14_plus_seed_small_angle,125,125,evaluation_budget_exhausted,False,2.3033074000268243,0.001217958850476379,6.08948584568524e-05,0.9987820411495236,26.003992700056582,12.200024401192644,0.049997467839767044,1.6003992700056582,nan
penalty_x,16,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),32,continuation_from_p15_plus_seed_small_angle,128,128,evaluation_budget_exhausted,False,2.3893830999732018,0.0012179256794226574,6.0893162501486545e-05,0.9987820743205773,26.004041364312428,12.200024697831568,0.049997437060652336,1.600404136431243,nan
penalty_x,17,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),34,continuation_from_p16_plus_seed_small_angle,131,131,evaluation_budget_exhausted,False,2.4209651999990456,0.0012178144304795832,6.088747514584013e-05,0.9987821855695205,26.004203425010882,12.200025688502443,0.049997334258769004,1.6004203425010881,nan
penalty_x,18,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),36,continuation_from_p17_plus_seed_small_angle,134,134,evaluation_budget_exhausted,False,3.497732499963604,0.0012170359131385593,6.084767547032443e-05,0.9987829640868614,26.00533779186262,12.200032623899267,0.04999661457270155,1.600533779186262,nan
penalty_x,19,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),38,continuation_from_p18_plus_seed_small_angle,137,137,evaluation_budget_exhausted,False,2.5922054999973625,0.0012164706570992059,6.0818778521593844e-05,0.9987835293429008,26.006161869898303,12.200037662734779,0.04999609169909796,1.6006161869898303,nan
penalty_x,20,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),40,continuation_from_p19_plus_seed_small_angle,140,140,evaluation_budget_exhausted,False,2.991425500018522,0.0012164511770197794,6.081778266959665e-05,0.9987835488229804,26.006190273247743,12.200037836419693,0.04999607367604837,1.6006190273247742,nan
penalty_x,21,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),42,continuation_from_p20_plus_seed_small_angle,143,143,evaluation_budget_exhausted,False,4.169233800028451,0.0012151330334385108,6.07503983516764e-05,0.9987848669665613,26.008112356846656,12.20004959222662,0.049994853797833604,1.6008112356846655,nan
penalty_x,22,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),44,continuation_from_p21_plus_seed_small_angle,146,146,evaluation_budget_exhausted,False,3.8818336999975145,0.0012132949637203086,6.065643639013477e-05,0.9987867050362796,26.01079714245181,12.200066017620786,0.04999314940214111,1.6010797142451811,nan
penalty_x,23,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),46,continuation_from_p22_plus_seed_small_angle,149,149,evaluation_budget_exhausted,False,4.38914789998671,0.0012112602633755317,6.0552425528963004e-05,0.9987887397366244,26.013773826731388,12.200084236110156,0.049991258988564456,1.6013773826731388,nan
penalty_x,24,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),48,continuation_from_p23_plus_seed_small_angle,152,152,evaluation_budget_exhausted,False,4.562095899949782,0.0012112441168147274,6.0551589811375165e-05,0.9987887558831852,26.013811177165937,12.200084463152866,0.04999123543370504,1.6013811177165937,nan
penalty_x,25,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),50,continuation_from_p24_plus_seed_small_angle,155,155,evaluation_budget_exhausted,False,5.273733899986837,0.001209586995732071,6.04668822740372e-05,0.998790413004268,26.01623948885807,12.200099330778817,0.049989692752476396,1.6016239488858068,nan
penalty_x,26,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),52,continuation_from_p25_plus_seed_small_angle,158,158,evaluation_budget_exhausted,False,6.056105400028173,0.001208230004569687,6.039751790491796e-05,0.9987917699954303,26.018230646744488,12.200111525574867,0.04998842743226578,1.601823064674449,nan
penalty_x,27,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),54,continuation_from_p26_plus_seed_small_angle,161,161,evaluation_budget_exhausted,False,7.886202799971215,0.0012109720529176243,6.0537663812845295e-05,0.9987890279470822,26.014233637446978,12.200087050875998,0.04999096689885653,1.6014233637446977,nan
penalty_x,28,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),56,continuation_from_p27_plus_seed_small_angle,164,164,evaluation_budget_exhausted,False,10.48318239999935,0.0012142637307402566,6.070593117694326e-05,0.9987857362692597,26.009418597382187,12.200057580483994,0.04999402488941579,1.6009418597382186,nan
penalty_x,29,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),58,continuation_from_p28_plus_seed_small_angle,167,167,evaluation_budget_exhausted,False,10.105530500004534,0.0012132031927568378,6.06517173089848e-05,0.998786796807243,26.01096793892875,12.200067059628008,0.04999304129027397,1.601096793892875,nan
penalty_x,30,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),60,continuation_from_p29_plus_seed_small_angle,170,170,evaluation_budget_exhausted,False,10.051427599973977,0.0012125401478168259,6.061782331769648e-05,0.9987874598521833,26.011937346713758,12.20007299168623,0.049992425757479995,1.6011937346713758,nan
penalty_x,31,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),62,continuation_from_p30_plus_seed_small_angle,173,173,evaluation_budget_exhausted,False,9.029802099976223,0.0012110385252420113,6.0541062776029534e-05,0.9987889614747579,26.014135711285146,12.200086446905553,0.049991029611490795,1.6014135711285147,nan
penalty_x,32,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),64,continuation_from_p31_plus_seed_small_angle,176,176,evaluation_budget_exhausted,False,9.863366300007328,0.0012087596049783786,6.042457036609395e-05,0.9987912403950214,26.017478232318673,12.200106912749943,0.049988906079612726,1.6017478232318674,nan
penalty_x,33,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),66,continuation_from_p32_plus_seed_small_angle,179,179,evaluation_budget_exhausted,False,11.044934800011106,0.0012072795697057896,6.034891690352202e-05,0.9987927204302942,26.019652358932685,12.2001202295642,0.04998752436291858,1.6019652358932686,nan
penalty_x,34,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),68,continuation_from_p33_plus_seed_small_angle,182,182,evaluation_budget_exhausted,False,10.168249599984847,0.0012050435545805124,6.023462297101786e-05,0.9987949564454195,26.022943140437846,12.200140393463167,0.049985432262642265,1.6022943140437846,nan
penalty_x,35,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),70,continuation_from_p34_plus_seed_small_angle,185,185,evaluation_budget_exhausted,False,10.588171300012618,0.0012045966006676502,6.0211777816885556e-05,0.9987954033993323,26.023601058219025,12.2001444258478,0.04998501389055311,1.6023601058219026,nan
penalty_x,36,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),72,continuation_from_p35_plus_seed_small_angle,188,188,evaluation_budget_exhausted,False,11.093270399956964,0.0012045444338603375,6.020911195596448e-05,0.9987954555661396,26.023677160652625,12.200144892359674,0.049984965488575325,1.6023677160652625,nan
penalty_x,37,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),74,continuation_from_p36_plus_seed_small_angle,191,191,evaluation_budget_exhausted,False,12.064518600003794,0.0012028679920711683,6.012342401389181e-05,0.9987971320079287,26.0261490071293,12.200160045102315,0.04998339336502569,1.6026149007129298,nan
penalty_x,38,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),76,continuation_from_p37_plus_seed_small_angle,194,194,evaluation_budget_exhausted,False,12.94349420000799,0.0012005401893296198,6.0004445667271455e-05,0.9987994598106704,26.02958802678887,12.200181135142731,0.049981205294574824,1.6029588026788868,nan
penalty_x,39,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),78,continuation_from_p38_plus_seed_small_angle,197,197,evaluation_budget_exhausted,False,13.041872399975546,0.0011984362605022066,5.9896913000029715e-05,0.9988015637394977,26.032702521660877,12.200200243253382,0.04997922290412827,1.6032702521660878,nan
penalty_x,40,2601,14 edge bits; all 2^14 bitstrings,16384,H_X=sum_j X_j (course beta/q scaling),80,continuation_from_p39_plus_seed_small_angle,200,200,evaluation_budget_exhausted,False,13.07825329998741,0.001195685422545078,5.9756320664212104e-05,0.998804314577455,26.036783979501042,12.200225295651968,0.04997662389913368,1.6036783979501041,nan
