A,p,selected_start_id,shots,replicate_id,p_feas_hat,p_opt_hat,invalid_mass_hat,feasible_observation_count,exact_optimum_observation_count,most_frequent_state_index,most_frequent_canonical_bitstring,most_frequent_qiskit_display_bitstring,most_frequent_observation_count
2,2,2,256,0,0.03515625,0.0,0.96484375,9,0,9217,10000000001001,10010000000001,4
2,2,2,256,1,0.04296875,0.0,0.95703125,11,0,8193,10000000000001,10000000000001,3
2,2,2,256,2,0.07421875,0.00390625,0.92578125,19,1,0,00000000000000,00000000000000,4
2,2,2,256,3,0.015625,0.0,0.984375,4,0,10753,10000000010101,10101000000001,7
2,2,2,256,4,0.05859375,0.0,0.94140625,15,0,0,00000000000000,00000000000000,4
2,2,2,256,5,0.0546875,0.00390625,0.9453125,14,1,10241,10000000000101,10100000000001,6
2,2,2,256,6,0.05078125,0.00390625,0.94921875,13,1,2,01000000000000,00000000000010,3
2,2,2,256,7,0.046875,0.0,0.953125,12,0,10768,00001000010101,10101000010000,4
2,2,2,256,8,0.04296875,0.0,0.95703125,11,0,0,00000000000000,00000000000000,5
2,2,2,256,9,0.0625,0.00390625,0.9375,16,1,1,10000000000000,00000000000001,4
2,2,2,256,10,0.0546875,0.00390625,0.9453125,14,1,0,00000000000000,00000000000000,4
2,2,2,256,11,0.0546875,0.0,0.9453125,14,0,8192,00000000000001,10000000000000,5
2,2,2,256,12,0.06640625,0.01171875,0.93359375,17,3,4097,10000000000010,01000000000001,4
2,2,2,256,13,0.04296875,0.0078125,0.95703125,11,2,8192,00000000000001,10000000000000,4
2,2,2,256,14,0.07421875,0.00390625,0.92578125,19,1,10241,10000000000101,10100000000001,4
2,2,2,256,15,0.05859375,0.0078125,0.94140625,15,2,8192,00000000000001,10000000000000,4
2,2,2,256,16,0.04296875,0.0,0.95703125,11,0,4105,10010000000010,01000000001001,4
2,2,2,256,17,0.0625,0.0078125,0.9375,16,2,8192,00000000000001,10000000000000,5
2,2,2,256,18,0.05078125,0.0,0.94921875,13,0,0,00000000000000,00000000000000,5
2,2,2,256,19,0.0546875,0.0,0.9453125,14,0,9216,00000000001001,10010000000000,4
2,2,2,256,20,0.03515625,0.0,0.96484375,9,0,8193,10000000000001,10000000000001,5
2,2,2,256,21,0.05859375,0.0,0.94140625,15,0,8192,00000000000001,10000000000000,5
2,2,2,256,22,0.04296875,0.0,0.95703125,11,0,0,00000000000000,00000000000000,6
2,2,2,256,23,0.04296875,0.00390625,0.95703125,11,1,8193,10000000000001,10000000000001,4
2,2,2,256,24,0.0546875,0.0,0.9453125,14,0,8193,10000000000001,10000000000001,8
2,2,2,256,25,0.04296875,0.00390625,0.95703125,11,1,1,10000000000000,00000000000001,4
2,2,2,256,26,0.05078125,0.00390625,0.94921875,13,1,4096,00000000000010,01000000000000,5
2,2,2,256,27,0.03125,0.0,0.96875,8,0,1,10000000000000,00000000000001,4
2,2,2,256,28,0.02734375,0.0,0.97265625,7,0,8705,10000000010001,10001000000001,5
2,2,2,256,29,0.05078125,0.0078125,0.94921875,13,2,8193,10000000000001,10000000000001,5
2,2,2,256,30,0.03125,0.0,0.96875,8,0,0,00000000000000,00000000000000,3
2,2,2,256,31,0.046875,0.0,0.953125,12,0,2,01000000000000,00000000000010,4
2,2,2,256,32,0.046875,0.0078125,0.953125,12,2,1,10000000000000,00000000000001,3
2,2,2,256,33,0.046875,0.00390625,0.953125,12,1,8192,00000000000001,10000000000000,5
2,2,2,256,34,0.03515625,0.00390625,0.96484375,9,1,0,00000000000000,00000000000000,4
2,2,2,256,35,0.05078125,0.00390625,0.94921875,13,1,8192,00000000000001,10000000000000,6
2,2,2,256,36,0.046875,0.0,0.953125,12,0,10824,00010010010101,10101001001000,4
2,2,2,256,37,0.0390625,0.0,0.9609375,10,0,10882,01000001010101,10101010000010,4
2,2,2,256,38,0.05078125,0.0,0.94921875,13,0,8193,10000000000001,10000000000001,4
2,2,2,256,39,0.05078125,0.0078125,0.94921875,13,2,8457,10010000100001,10000100001001,4
2,2,2,256,40,0.05859375,0.00390625,0.94140625,15,1,4096,00000000000010,01000000000000,4
2,2,2,256,41,0.05078125,0.0078125,0.94921875,13,2,9216,00000000001001,10010000000000,4
2,2,2,256,42,0.046875,0.00390625,0.953125,12,1,0,00000000000000,00000000000000,3
2,2,2,256,43,0.0625,0.0,0.9375,16,0,8201,10010000000001,10000000001001,3
2,2,2,256,44,0.0625,0.0,0.9375,16,0,8201,10010000000001,10000000001001,5
2,2,2,256,45,0.04296875,0.0,0.95703125,11,0,0,00000000000000,00000000000000,4
2,2,2,256,46,0.05078125,0.00390625,0.94921875,13,1,512,00000000010000,00001000000000,4
2,2,2,256,47,0.04296875,0.0,0.95703125,11,0,8201,10010000000001,10000000001001,5
2,2,2,256,48,0.05859375,0.0078125,0.94140625,15,2,0,00000000000000,00000000000000,4
2,2,2,256,49,0.0390625,0.0078125,0.9609375,10,2,1,10000000000000,00000000000001,4
2,2,2,256,50,0.03125,0.0078125,0.96875,8,2,8193,10000000000001,10000000000001,4
2,2,2,256,51,0.05859375,0.0078125,0.94140625,15,2,10752,00000000010101,10101000000000,4
2,2,2,256,52,0.04296875,0.0,0.95703125,11,0,8713,10010000010001,10001000001001,5
2,2,2,256,53,0.0546875,0.0,0.9453125,14,0,8192,00000000000001,10000000000000,5
2,2,2,256,54,0.0546875,0.00390625,0.9453125,14,1,0,00000000000000,00000000000000,3
2,2,2,256,55,0.04296875,0.0,0.95703125,11,0,8193,10000000000001,10000000000001,5
2,2,2,256,56,0.046875,0.0078125,0.953125,12,2,4096,00000000000010,01000000000000,4
2,2,2,256,57,0.046875,0.00390625,0.953125,12,1,1,10000000000000,00000000000001,4
2,2,2,256,58,0.03125,0.0,0.96875,8,0,8192,00000000000001,10000000000000,5
2,2,2,256,59,0.046875,0.0,0.953125,12,0,8192,00000000000001,10000000000000,5
2,2,2,256,60,0.0546875,0.0078125,0.9453125,14,2,512,00000000010000,00001000000000,4
2,2,2,256,61,0.0625,0.0078125,0.9375,16,2,4608,00000000010010,01001000000000,4
2,2,2,256,62,0.0390625,0.0078125,0.9609375,10,2,0,00000000000000,00000000000000,6
2,2,2,256,63,0.04296875,0.0,0.95703125,11,0,1,10000000000000,00000000000001,4
