p,penalty_x_p_opt,penalty_x_p_feas,penalty_x_p_opt_given_feasible,penalty_x_expected_penalized_cost,penalty_x_nfev,penalty_x_status,global_grover_p_opt,global_grover_p_feas,global_grover_p_opt_given_feasible,global_grover_expected_penalized_cost,global_grover_nfev,global_grover_status
1,0.00032672836480405706,0.005251685228113069,0.0622140038125344,69.04069492338564,120,BUDGET_LIMITED,6.480843532618566e-05,0.0012232076733822172,0.052982364921720766,85.97100417734309,120,BUDGET_LIMITED
2,0.0013475410063316683,0.011251298572330086,0.11976759817267915,62.39596314646808,120,BUDGET_LIMITED,6.52654822691043e-05,0.00121917236322014,0.0535326129741998,85.96915655730987,120,BUDGET_LIMITED
3,0.0008070725652476909,0.01465845804619652,0.05505848996560077,60.24381828234743,120,BUDGET_LIMITED,6.602690732399946e-05,0.0012146108760121511,0.054360543469511066,85.96648869172668,120,BUDGET_LIMITED
4,0.0011668080274910917,0.014809233690585698,0.07878922379574828,59.673405286674935,120,BUDGET_LIMITED,6.618383448352744e-05,0.0012146271471963992,0.05448901305745791,85.96615990258732,120,BUDGET_LIMITED
5,0.0010816179868551145,0.015338674045372773,0.07051574234224026,59.43956944954293,120,BUDGET_LIMITED,6.568540944143444e-05,0.0012164100656226876,0.053999396501055494,85.95990584740898,120,BUDGET_LIMITED
6,0.0014193263373146426,0.015615615466400898,0.090891475931161,59.29613092308247,120,BUDGET_LIMITED,6.494374637031364e-05,0.0012205365928886743,0.05320917598759547,85.95364766876006,120,BUDGET_LIMITED
7,0.0015776451255014687,0.015643077757839727,0.1008526039391968,59.259880648578005,120,BUDGET_LIMITED,6.579441243355911e-05,0.0012186210835369391,0.053990869945066675,85.95078882535486,120,BUDGET_LIMITED
8,0.00169430644799696,0.01516658698099862,0.11171309999538216,59.304173933376276,120,BUDGET_LIMITED,6.693282898510081e-05,0.00121302048153315,0.05517864702540197,85.94825163017532,120,BUDGET_LIMITED
9,0.0017177472285687281,0.015235377473253967,0.11274727072461908,59.25943988706423,120,BUDGET_LIMITED,6.717036155480043e-05,0.0012101366581133864,0.05550642657129287,85.94489344333738,120,BUDGET_LIMITED
10,0.0016338906680880704,0.015546306061684197,0.10509832120924191,59.18394627105667,120,BUDGET_LIMITED,6.488244153472825e-05,0.0012051137803134018,0.05383926612958896,85.94168336823631,120,BUDGET_LIMITED
11,0.0018771261905928247,0.014611023269289727,0.12847328732534938,59.21332589028868,120,BUDGET_LIMITED,6.181735573597232e-05,0.0012690984547374605,0.04870966118129939,85.8862217058857,120,BUDGET_LIMITED
12,0.0019410192157447365,0.01470861876657102,0.13196475118086434,59.20782015542362,120,BUDGET_LIMITED,6.018631633760073e-05,0.0012671930935038928,0.04749577364818224,85.87602728411969,120,BUDGET_LIMITED
13,0.0019913358415023516,0.014716402167528826,0.1353140406760667,59.199089527213815,120,BUDGET_LIMITED,6.237281093911828e-05,0.0012706756673259794,0.04908633457220138,85.86646218413163,120,BUDGET_LIMITED
14,0.0019160875452559456,0.01462946466128712,0.1309745496242489,59.19887396708104,120,BUDGET_LIMITED,6.133703384260213e-05,0.0012697658004762996,0.04830578506650132,85.86520729250665,120,BUDGET_LIMITED
15,0.0018772781793469512,0.014615522049824347,0.12844414130041376,59.19737645885385,124,BUDGET_LIMITED,6.226399497789877e-05,0.0012575492617662462,0.04951217170645712,85.86450711403229,124,BUDGET_LIMITED
16,0.0021341054023496756,0.014559640942382789,0.14657678790260154,59.38053778588936,128,BUDGET_LIMITED,6.260765476101988e-05,0.0012487660159122209,0.050135617051754185,85.85287662002904,128,BUDGET_LIMITED
17,0.0019160195117306803,0.014382572994528681,0.13321813228130733,59.23218613984062,132,BUDGET_LIMITED,0.00011189882801425732,0.0022222027350665492,0.050354914179738974,73.51156184702668,132,BUDGET_LIMITED
18,0.0015945467068600127,0.013891003359412447,0.11478988706597346,59.102788688264155,136,BUDGET_LIMITED,0.00016842030870907498,0.00334085356041051,0.05041235889680247,64.32091147127053,136,BUDGET_LIMITED
19,0.002119924887468223,0.018215519097326296,0.11638015233830966,57.697276208113195,140,BUDGET_LIMITED,0.00021323992380466462,0.004241028858384074,0.05028023409534491,61.52504972198548,140,BUDGET_LIMITED
20,0.0012648519663668843,0.011325599743238088,0.11168079351577474,50.609462373350084,144,BUDGET_LIMITED,0.00021415777153051418,0.004244159992873977,0.05045940112768817,61.52291670879782,144,BUDGET_LIMITED
21,0.0028331539935815514,0.017946369478107183,0.15786780702568964,43.343087828286656,148,BUDGET_LIMITED,0.0002146538324896903,0.0042474732243904575,0.05053683005158782,61.521519892615146,148,BUDGET_LIMITED
22,7.448970897640856e-05,0.021208025419466488,0.0035123358965816645,37.27958022790568,152,BUDGET_LIMITED,0.0002153104546449675,0.004261535978153497,0.05052414334848828,61.51779187123377,152,BUDGET_LIMITED
23,6.937332159488764e-05,0.038164350909363244,0.0018177519056892329,34.04451028228348,156,BUDGET_LIMITED,0.00021570375789989064,0.0042686157253412176,0.05053248448187452,61.513889248633326,156,BUDGET_LIMITED
24,4.314598623347962e-05,0.033075311704621926,0.001304477086075365,33.20266649814698,160,BUDGET_LIMITED,0.00021468937212714876,0.004280638129131473,0.05015359057475585,61.51124220943045,160,BUDGET_LIMITED
25,6.195921754713217e-05,0.0368625493689962,0.0016808174857066152,32.82912041382441,164,BUDGET_LIMITED,0.00021688665903284187,0.004274751966595817,0.05073666512762816,61.50790003899017,164,BUDGET_LIMITED
26,9.016170820625976e-05,0.03987153552967627,0.0022613051393306047,32.21746220215138,168,BUDGET_LIMITED,0.00021573009771214097,0.0042789122944276135,0.050417041263753924,61.50627925161167,168,BUDGET_LIMITED
27,0.00011435313235175471,0.04350181786878279,0.0026286977867611212,32.291676991361285,172,BUDGET_LIMITED,0.00021458260634853196,0.004280342996971476,0.05013210541780372,61.50550739139711,172,BUDGET_LIMITED
28,0.00014468955558365063,0.05566696237099099,0.002599199766270179,32.187644090453325,176,BUDGET_LIMITED,0.00021455979606102037,0.004280344432460548,0.050126759527546035,61.504744318844814,176,BUDGET_LIMITED
29,7.935951396106816e-05,0.051496997199991484,0.001541051289900866,31.455693600040217,180,BUDGET_LIMITED,0.00021207844997715226,0.004240898609383726,0.05000790386921578,61.470178936445,180,BUDGET_LIMITED
30,7.880021038615159e-05,0.05097005629458374,0.001546009875498709,31.165826304751064,184,BUDGET_LIMITED,0.00021178098679082308,0.0042445859583962785,0.049894380480596925,61.46655800401268,184,BUDGET_LIMITED
31,0.0001138449047644958,0.05430659888377702,0.002096336487728467,30.83913909837726,188,BUDGET_LIMITED,0.00021462314431634156,0.004191147397283309,0.05120868439403008,61.447882748706284,188,BUDGET_LIMITED
32,0.00013980702131354285,0.05850866353904129,0.00238950973850656,30.599880688094338,192,BUDGET_LIMITED,0.00021844726423504512,0.004179396419579497,0.052267658366091006,61.439770163918894,192,BUDGET_LIMITED
33,0.00015418607654969335,0.05550801897779438,0.0027777261626175938,30.529659652197775,196,BUDGET_LIMITED,0.00022041369125304374,0.004172942669911493,0.05281972667449051,61.43620518783145,196,BUDGET_LIMITED
34,0.00011334811998749444,0.053551368657209296,0.0021166241466778098,29.650634279060057,200,BUDGET_LIMITED,0.00021906269955964688,0.00418310487544834,0.05236844546867069,61.434745294835814,200,BUDGET_LIMITED
