algorithm,depth,n_parameters,evaluation_budget,nfev,optimizer_wall_time_s,wall_time_s,status
global_grover,1,2,120,120,0.26253575598821044,0.2660830430686474,BUDGET_LIMITED
global_grover,2,4,120,120,0.2738195210695267,0.2777152780909091,BUDGET_LIMITED
global_grover,3,6,120,120,0.2730204570107162,0.2770872609689832,BUDGET_LIMITED
global_grover,4,8,120,120,0.2947063250467181,0.29906989401206374,BUDGET_LIMITED
global_grover,5,10,120,120,0.35587529512122273,0.3604689659550786,BUDGET_LIMITED
global_grover,6,12,120,120,0.382046289043501,0.3868045941926539,BUDGET_LIMITED
global_grover,7,14,120,120,0.3939368480350822,0.3988194849807769,BUDGET_LIMITED
global_grover,8,16,120,120,0.38769114715978503,0.3926447650883347,BUDGET_LIMITED
global_grover,9,18,120,120,0.4226510638836771,0.42775125801563263,BUDGET_LIMITED
global_grover,10,20,120,120,0.43954360391944647,0.44487712415866554,BUDGET_LIMITED
global_grover,11,22,120,120,0.5210427450947464,0.5271417789626867,BUDGET_LIMITED
global_grover,12,24,120,120,0.5442285030148923,0.550285603152588,BUDGET_LIMITED
global_grover,13,26,120,120,0.5646254997700453,0.5707615790888667,BUDGET_LIMITED
global_grover,14,28,120,120,0.575267513981089,0.5816995080094784,BUDGET_LIMITED
global_grover,15,30,124,124,0.566152918851003,0.5726355090737343,BUDGET_LIMITED
global_grover,16,32,128,128,0.6414284941274673,0.6483237738721073,BUDGET_LIMITED
global_grover,17,34,132,132,0.6771219859365374,0.6840451578609645,BUDGET_LIMITED
global_grover,18,36,136,136,0.6051556619349867,0.612433347851038,BUDGET_LIMITED
global_grover,19,38,140,140,0.9505748699884862,0.9576330829877406,BUDGET_LIMITED
global_grover,20,40,144,144,0.8963626041077077,0.9039859799668193,BUDGET_LIMITED
global_grover,21,42,148,148,1.0134060359559953,1.0209257830865681,BUDGET_LIMITED
global_grover,22,44,152,152,1.0513670928776264,1.0593056669458747,BUDGET_LIMITED
global_grover,23,46,156,156,1.1095748650841415,1.117736206855625,BUDGET_LIMITED
global_grover,24,48,160,160,1.0585201140493155,1.0667231779079884,BUDGET_LIMITED
global_grover,25,50,164,164,1.1640010999981314,1.1724659348838031,BUDGET_LIMITED
global_grover,26,52,168,168,1.1994754509069026,1.208121115108952,BUDGET_LIMITED
global_grover,27,54,172,172,1.2671880549751222,1.2755962929222733,BUDGET_LIMITED
global_grover,28,56,176,176,0.9377572690136731,0.9463459679391235,BUDGET_LIMITED
global_grover,29,58,180,180,1.2110684150829911,1.2199450039770454,BUDGET_LIMITED
global_grover,30,60,184,184,1.511897784890607,1.5208429559133947,BUDGET_LIMITED
global_grover,31,62,188,188,1.5783599470742047,1.5873946310020983,BUDGET_LIMITED
global_grover,32,64,192,192,1.7282542018219829,1.7375197559595108,BUDGET_LIMITED
global_grover,33,66,196,196,1.645441548898816,1.6549559370614588,BUDGET_LIMITED
global_grover,34,68,200,200,1.6985931450035423,1.70840413402766,BUDGET_LIMITED
global_grover,35,70,204,204,2.241291692946106,2.251185175962746,BUDGET_LIMITED
global_grover,36,72,208,208,2.017588325077668,2.027828410966322,BUDGET_LIMITED
global_grover,37,74,212,212,1.9663074291311204,1.9768080860376358,BUDGET_LIMITED
global_grover,38,76,216,216,1.587448654929176,1.5983674789313227,BUDGET_LIMITED
global_grover,39,78,220,220,2.103601743001491,2.1145776680205017,BUDGET_LIMITED
global_grover,40,80,224,224,1.9197242159862071,1.9305971809662879,BUDGET_LIMITED
global_grover,41,82,228,228,2.095958766993135,2.1073997251223773,BUDGET_LIMITED
global_grover,42,84,232,232,2.0164332871790975,2.028184685856104,BUDGET_LIMITED
global_grover,43,86,236,236,2.5568691447842866,2.568693778011948,BUDGET_LIMITED
global_grover,44,88,240,240,2.9457664031069726,2.9575307331979275,BUDGET_LIMITED
global_grover,45,90,244,244,2.65067419083789,2.6621293439529836,BUDGET_LIMITED
global_grover,46,92,248,248,2.5972854720894247,2.60917163384147,BUDGET_LIMITED
global_grover,47,94,252,252,2.842678845161572,2.854628540808335,BUDGET_LIMITED
global_grover,48,96,256,256,3.1938091351184994,3.205820420058444,BUDGET_LIMITED
global_grover,49,98,260,260,3.659169735852629,3.6715768889989704,BUDGET_LIMITED
global_grover,50,100,264,264,3.2079577380791306,3.220489245140925,BUDGET_LIMITED
global_grover,51,102,268,268,2.712587014073506,2.7252774429507554,BUDGET_LIMITED
global_grover,52,104,272,272,3.790592186152935,3.80346462293528,BUDGET_LIMITED
global_grover,53,106,276,276,3.4469666709192097,3.4597004030365497,BUDGET_LIMITED
global_grover,54,108,280,280,4.132235381053761,4.145153567194939,BUDGET_LIMITED
global_grover,55,110,284,284,5.542815035907552,5.555697914911434,BUDGET_LIMITED
global_grover,56,112,288,288,4.236416576895863,4.249533477937803,BUDGET_LIMITED
global_grover,57,114,292,292,4.410989504074678,4.424712649080902,BUDGET_LIMITED
global_grover,58,116,296,296,3.6967464240733534,3.710595919052139,BUDGET_LIMITED
global_grover,59,118,300,300,4.050318778026849,4.064001790015027,BUDGET_LIMITED
global_grover,60,120,304,304,7.2630101018585265,7.277379947016016,BUDGET_LIMITED
global_grover,61,122,308,308,4.118613434955478,4.132939710048959,BUDGET_LIMITED
global_grover,62,124,312,312,5.0058661920484155,5.020503944018856,BUDGET_LIMITED
global_grover,63,126,316,316,4.213616177905351,4.228220894932747,BUDGET_LIMITED
global_grover,64,128,320,320,6.294371572090313,6.309507586993277,BUDGET_LIMITED
global_grover,65,130,324,324,6.130382393952459,6.145334518980235,BUDGET_LIMITED
global_grover,66,132,328,328,7.642789619043469,7.657449004007503,BUDGET_LIMITED
global_grover,67,134,332,332,4.677856225986034,4.693018523976207,BUDGET_LIMITED
global_grover,68,136,336,336,5.370583054842427,5.386416767956689,BUDGET_LIMITED
global_grover,69,138,340,340,4.594900488154963,4.6106451018713415,BUDGET_LIMITED
global_grover,70,140,344,344,5.082743989070877,5.098768305964768,BUDGET_LIMITED
global_grover,71,142,348,348,5.243653080891818,5.259713731938973,BUDGET_LIMITED
global_grover,72,144,352,352,5.741431735921651,5.757135433843359,BUDGET_LIMITED
global_grover,73,146,356,356,5.294874707004055,5.311107064131647,BUDGET_LIMITED
global_grover,74,148,360,360,5.6586930099874735,5.675214254995808,BUDGET_LIMITED
global_grover,75,150,364,364,6.000617736950517,6.017259137937799,BUDGET_LIMITED
global_grover,76,152,368,368,7.9556082368362695,7.972381544066593,BUDGET_LIMITED
global_grover,77,154,372,372,10.290946919936687,10.307994592934847,BUDGET_LIMITED
global_grover,78,156,376,376,8.763584790052846,8.780711109982803,BUDGET_LIMITED
global_grover,79,158,380,380,8.672469548881054,8.689746980089694,BUDGET_LIMITED
global_grover,80,160,384,384,6.251700324937701,6.269200418842956,BUDGET_LIMITED
