algorithm,p,historical_p_opt,best_budget_only_p_opt,best_cvar_direct_p_opt,best_fourier_expectation_p_opt,primary_combined_p_opt,preregistered_recipe_p_opt,exploratory_best_p_opt,exploratory_best_run_id
global_grover,21,0.0002146538324896903,0.00021474354595552996,0.0002573401958283472,,,,0.0002573401958283472,bfo-364e03eb9d75855b629a6bdc03fae3d9a50733285c9b8b912d5e514cefc3fa47
global_grover,22,0.0002153104546449675,0.00021635883341572003,0.0002567739453417958,,,,0.0002567739453417958,bfo-b4468b73aaba908259595c434d8a9488f707d56ab07b766e04c057f61e6a0ac2
global_grover,50,0.0005116045802984566,0.000516635900098285,0.0006574631058800084,,,,0.0006574631058800084,bfo-9f24106a164c4fa21e6f26f6f44af53710e057caa1ad7c0bfbc849cc874200f3
global_grover,100,0.0008439592737625252,0.0009837414238639851,0.0024859078521882625,0.0004961442469087208,,0.0021612077005306518,0.0024859078521882625,bfo-a1aa07723c7c371b0e94c92aca49468e75d17f02f53871b99a4556239f0f0e12
global_grover,110,0.001029783422714649,0.0011174906580560388,0.0025203352924884357,0.0009298750279987025,0.0007950022590300056,0.0007950022590300056,0.003600832898817373,bfo-51fa34c87024475fdf181c437ccfe2742cd50e3d03378bb207a81c1b7be29781
penalty_x,21,0.0028331539935815514,0.0015553125239623543,3.642752869630763e-05,,,,0.0015553125239623543,bfo-e97ef7ec006c58a81c6811a0b731e75e3820d2f54cbcd72dfffea7ad17adb25a
penalty_x,22,7.448970897640856e-05,5.87130149714678e-05,1.8505511129693664e-05,,,,5.87130149714678e-05,bfo-2a1a5a3fe7875c614a35721034b384f6d9218d60db90d607c897372d97a029d5
penalty_x,50,4.566694964479663e-05,4.569702951944359e-05,0.0005951591122615027,,,,0.0005951591122615027,bfo-8fafc7eccbbadc5a41ef796bf3876bd64a878a12717d259aa0c5478e5526b8ab
penalty_x,100,0.0001348414792719059,0.0003098777593561756,0.003325365570659705,0.003099986936644442,,0.005544115385466201,0.005544115385466201,bfo-0a80f54d196a3d35410f7b5ab05cfc3126f9016741c166f95ec7df565fec15b8
penalty_x,110,0.0003578671392297369,0.0003815785263300749,0.007741140949673221,3.73107794624232e-05,,7.48865239569277e-05,0.007741140949673221,bfo-4df21966fd8ad7d401bad12a3419c58ad68467dfb4c3683a061b6c2f64c341b8
