run_id,algorithm,depth,budget_multiplier,parameterization,objective_kind,trace_evaluations_including_initial,initial_training_objective,final_training_objective,objective_improvement,initial_p_opt,final_p_opt,p_opt_change,training_objective_p_opt_pearson,objective_improved_but_p_opt_decreased
bfo-364e03eb9d75855b629a6bdc03fae3d9a50733285c9b8b912d5e514cefc3fa47,global_grover,21,25,DIRECT,cvar_0.10,1051,26.75178542977832,26.02564480739643,0.7261406223818909,0.0002141602545189,0.0002573401958283472,4.317994130944718e-05,-0.44927489474110155,False
bfo-c98ff20768b3d204c55911c8c4a8b4449883f0fecda03c7fd303cd97509f8d61,global_grover,21,25,DIRECT,cvar_0.25,1051,33.80251247434465,32.59691140312509,1.2056010712195615,0.0002141602545189,0.00025083043575782155,3.6670181238921535e-05,-0.24586997762404994,False
bfo-80de6bc433a1fa6c9fae35c1227c8b653566dcc3426d0adf3bd9b525b7744fde,global_grover,21,10,DIRECT,expectation,421,61.52287744777955,61.51671828402157,0.006159163757978092,0.0002141602545189,0.00021357094420650931,-5.893103123906962e-07,-0.0969577401591114,True
bfo-de53e2a9e84e83518a58fc93d6c825bee3dbfe0dd48cef267c99064ff6363b10,global_grover,21,25,DIRECT,expectation,1051,61.52287744777955,61.51396592192512,0.00891152585442967,0.0002141602545189,0.00021402307390140359,-1.371806174964253e-07,-0.2814444162538642,True
bfo-22d07ac0da0ea6fe26e8c5c2a6394b06a3a67be078fe535859e00d8c30c957f3,global_grover,21,50,DIRECT,expectation,2101,61.52287744777955,61.510510201093254,0.01236724668629563,0.0002141602545189,0.00021474354595552996,5.832914366299467e-07,-0.3121128059044486,False
bfo-35ce049857cc790fc216aae9a1165a26a94060ec50452b19c70c15a0afaae44c,global_grover,22,25,DIRECT,cvar_0.10,1101,26.75343967110482,26.046044466513724,0.7073952045910978,0.0002146925877941,0.00024788432247412447,3.319173468002446e-05,-0.3178016936476065,False
bfo-b4468b73aaba908259595c434d8a9488f707d56ab07b766e04c057f61e6a0ac2,global_grover,22,25,DIRECT,cvar_0.25,1101,33.802987852345744,32.592100996497436,1.2108868558483081,0.0002146925877941,0.0002567739453417958,4.208135754769579e-05,-0.585209699627716,False
bfo-f2afefbc154e6b14c9f5f5f70a9a46c4f73e5b69876d3265f1dab0796c46eb6e,global_grover,22,10,DIRECT,expectation,441,61.5214797807424,61.51642084195249,0.005058938789915146,0.0002146925877941,0.00021528225147425707,5.896636801570594e-07,-0.3241529222624624,False
bfo-164d0f4416cf2a01b27766204c9aeea1a15c7db2d157ddc068ef62d4c1dc96b3,global_grover,22,25,DIRECT,expectation,1101,61.5214797807424,61.51435136019376,0.007128420548646375,0.0002146925877941,0.0002156332194708184,9.406316767183933e-07,-0.4549340944733358,False
bfo-f75add189723df68f28e68886747ef9b02ef0cba3015093aa571ffeaa3cfcd1c,global_grover,22,50,DIRECT,expectation,2201,61.5214797807424,61.51098907601195,0.010490704730450773,0.0002146925877941,0.00021635883341572003,1.666245621620015e-06,-0.48918234271726857,False
bfo-27311e80c041cc78568a344fdd77623f94d1c593886d50d8d85088f3ee4a2425,global_grover,50,25,DIRECT,cvar_0.10,2501,22.08191033299239,20.67269885183377,1.4092114811586214,0.0005121472607479,0.0006426010168447439,0.00013045375609684398,-0.46224830066777517,False
bfo-9f24106a164c4fa21e6f26f6f44af53710e057caa1ad7c0bfbc849cc874200f3,global_grover,50,25,DIRECT,cvar_0.25,2501,26.868613236228605,25.64376040854724,1.2248528276813637,0.0005121472607479,0.0006574631058800084,0.00014531584513210842,-0.6062286960569164,False
bfo-6759d0e2ceeddb39d0cfc93266383e880147aba8e84ed9e481474fa39db9085f,global_grover,50,10,DIRECT,expectation,1001,44.88772841252191,44.486642963268665,0.4010854492532445,0.0005121472607479,0.000516635900098285,4.4886393503850005e-06,-0.3609802433473987,False
bfo-a94c8113cacb06509400fcb6650478fe96648e958dc381a93268083c398b99b7,global_grover,50,25,DIRECT,expectation,2501,44.88772841252191,44.451462791866476,0.4362656206554334,0.0005121472607479,0.0005157397424958093,3.592481747909321e-06,-0.45202614101065364,False
bfo-14b52023ba76258e7056cfed6371cb8c9959792ab898ec99f0f9cefeed2d0966,global_grover,50,50,DIRECT,expectation,5001,44.88772841252191,44.09135824736204,0.7963701651598711,0.0005121472607479,0.000506054813631391,-6.092447116508933e-06,-0.459479961745333,True
bfo-a1aa07723c7c371b0e94c92aca49468e75d17f02f53871b99a4556239f0f0e12,global_grover,100,25,DIRECT,cvar_0.10,5001,18.48275051807536,14.667684254079154,3.815066263996206,0.0008181440044389,0.0024859078521882625,0.0016677638477493625,-0.0943701812347945,False
bfo-a12bf94c5032a0bda460b344321de242cb376d1e39e626d9584626700ae9f3e0,global_grover,100,25,DIRECT,cvar_0.25,5001,22.920912947254735,19.341471778354038,3.579441168900697,0.0008181440044389,0.0022153272099064976,0.0013971832054675976,-0.15035694082599335,False
bfo-4887aeb79daed72d2e1052829da61b52d2be32f48431170cc7e34efec0143c8c,global_grover,100,10,DIRECT,expectation,2001,34.394311238587846,33.2135832505004,1.1807279880874475,0.0008181440044389,0.0009647613806980545,0.0001466173762591545,-0.39251993716511935,False
bfo-ae88c73ec36f8c4ba10fdb2fa15b188839e1f3acb84e8ebb28bf1929e317a265,global_grover,100,25,DIRECT,expectation,5001,34.394311238587846,33.069629132300186,1.3246821062876606,0.0008181440044389,0.0009792377030497395,0.0001610936986108395,-0.2903521339132678,False
bfo-c46fff4d57e9e9a29c051d9c2c58b8783c712530624dc971b9149809436d7657,global_grover,100,50,DIRECT,expectation,10001,34.394311238587846,33.027237466426214,1.367073772161632,0.0008181440044389,0.0009837414238639851,0.00016559741942508512,-0.2134371865281733,False
bfo-4f6bbe0499b0c06c4008bc1241aac18bb72841c1654f8c1a55272c1c1658730c,global_grover,100,25,FOURIER_Q10,cvar_0.10,5001,30.78322537846448,15.454329601226764,15.328895777237715,0.0002353286559485,0.0021612077005306518,0.0019258790445821517,-0.8995811147071613,False
bfo-13259d95360a04991394ed2018a8744ac83f1c302339fee489df6f9811c713a9,global_grover,100,25,FOURIER_Q10,cvar_0.25,5001,40.91575437575501,19.42344244537169,21.492311930383316,0.0002353286559485,0.0024699194694030903,0.0022345908134545904,-0.7908175274753714,False
bfo-086ebdcfeadacaa44ea3f9704be4389a4dbbd2ba34fff201db4f5f71d4166190,global_grover,100,25,FOURIER_Q10,expectation,5001,84.06221235929513,57.73975467378996,26.32245768550517,0.0002353286559485,0.0004961442469087208,0.0002608155909602208,-0.8855204156741788,False
