run_id,depth,input_parameters,output_parameters,objective_before,optimized_objective,optimizer_progress_absolute,optimizer_progress_relative,inherited_parent_depth,inherited_parent_objective,neutral_transfer_objective,neutral_transfer_equivalence_error,marginal_depth_gain_absolute,marginal_depth_gain_relative,continuation_decision,continuation_reason,objective_evaluations,cumulative_objective_evaluations,statevector_evaluations,cumulative_statevector_evaluations,optimizer_runtime,cumulative_optimizer_runtime,optimizer_success,optimizer_reason
expectation_fixed_p1,1,"[1.3789715463539463,1.4497639358789494]","[6.283185307179586,3.141592653589793]",0.09578904867604196,0.06301802119405978,0.032771027481982185,0.3421166400014434,,,,,,,False,fixed_depth_complete,23,23,16,16,0.6281945551745594,0.6281945551745594,True,converged
expectation_fixed_p2,2,"[1.3789715463539463,2.8995278717578987,1.7364474121273048,2.7906443673425665]","[6.283185307179586,6.283185307179586,3.141592653589793,3.141592653589793]",0.0716273265077913,0.03306899577078279,0.03855833073700851,0.5383187201998152,,,,,,,False,fixed_depth_complete,43,43,31,31,0.8196919830515981,0.8196919830515981,True,converged
A0,3,"[1.3789715463539463,2.8995278717578987,3.4728948242546096,2.7906443673425665,3.111410049347273,0.7743344873085359]","[5.001915585384538,5.526150103232761,6.283185307179586,3.1415926535897203,3.1415926535897527,3.141592653589773]",0.06054466703519155,0.0233783963553614,0.03716627067983015,0.613865308041537,,,,,,,False,fixed_depth_complete,130,130,91,91,3.3116752421483397,3.3116752421483397,True,converged
A2,1,"[1.3789715463539463,1.4497639358789494]","[6.283185307179586,3.141592653589793]",0.09578904867604196,0.06301802119405978,0.032771027481982185,0.3421166400014434,,,,,,,True,baseline_complete_required_first_transfer,23,23,16,16,0.6187800881452858,0.6187800881452858,True,converged
A2,2,"[6.283185307179586,0.0,3.141592653589793,0.0]","[6.283185307179586,6.283185307179586,3.141592653589793,3.141592653589793]",0.06301802119405978,0.03306899577078279,0.029949025423276987,0.4752454116426628,1,0.06301802119405978,0.06301802119405978,0.0,0.029949025423276987,0.4752454116426628,True,marginal_depth_gain_exceeds_threshold,39,62,32,48,1.37331563513726,1.9920957232825458,True,converged
A2,3,"[6.283185307179586,6.283185307179586,0.0,3.141592653589793,3.141592653589793,0.0]","[4.979996014223722,5.62509336462972,6.283185307179586,3.141592653589793,3.141592653589793,3.141592653589793]",0.03306899577078279,0.023376867282004686,0.009692128488778103,0.29308808032632544,2,0.03306899577078279,0.03306899577078279,0.0,0.009692128488778103,0.29308808032632544,False,maximum_depth_reached,100,162,91,139,3.552994992118329,5.545090715400875,False,evaluation_budget_exhausted
cvar_fixed_p1,1,"[1.3789715463539463,1.4497639358789494]","[6.283185307179586,3.141592653589793]",0.006024473150533253,0.005058570731962632,0.0009659024185706211,0.16032977397950968,,,,,,,False,fixed_depth_complete,31,31,21,21,0.16603107191622257,0.16603107191622257,True,converged
cvar_fixed_p2,2,"[1.3789715463539463,2.8995278717578987,1.7364474121273048,2.7906443673425665]","[6.283185307179586,6.283185307179586,2.899025193515571,3.141592653589793]",0.00506268556798913,0.0050344368585574515,2.824870943167815e-05,0.005579787457133819,,,,,,,False,fixed_depth_complete,158,158,118,118,1.3845279612578452,1.3845279612578452,True,converged
A1,3,"[1.3789715463539463,2.8995278717578987,3.4728948242546096,2.7906443673425665,3.111410049347273,0.7743344873085359]","[6.283185307179586,6.283185307179586,6.283185307179586,1.5296429153043354,2.2925660291741243,3.141592653589793]",0.005059216761510926,0.005013511159322313,4.570560218861326e-05,0.009034126099582925,,,,,,,False,fixed_depth_complete,206,206,170,170,2.742283457890153,2.742283457890153,True,converged
A3,1,"[1.3789715463539463,1.4497639358789494]","[6.283185307179586,3.141592653589793]",0.006024473150533253,0.005058570731962632,0.0009659024185706211,0.16032977397950968,,,,,,,True,baseline_complete_required_first_transfer,31,31,21,21,0.16707829385995865,0.16707829385995865,True,converged
A3,2,"[6.283185307179586,0.0,3.141592653589793,0.0]","[6.283185307179586,6.283185307179586,2.8990257350525153,3.141592653589793]",0.005058570731962632,0.0050344368585574515,2.413387340518061e-05,0.0047708878028907414,1,0.005058570731962632,0.005058570731962632,0.0,2.413387340518061e-05,0.0047708878028907414,False,marginal_depth_gain_plateau,100,131,78,99,0.8962682127021253,1.063346506562084,False,evaluation_budget_exhausted
