group,stage,description,repeat_id,duration_ns,duration_ms
Model,contract_validation,Load and validate all frozen contracts/results,0,23872233,23.872233
Model,contract_validation,Load and validate all frozen contracts/results,1,25847841,25.847841
Model,contract_validation,Load and validate all frozen contracts/results,2,24270612,24.270612
Model,contract_validation,Load and validate all frozen contracts/results,3,25994824,25.994824
Model,contract_validation,Load and validate all frozen contracts/results,4,24178411,24.178411
Model,contract_validation,Load and validate all frozen contracts/results,5,23688843,23.688843
Model,contract_validation,Load and validate all frozen contracts/results,6,26497247,26.497247
Model,contract_validation,Load and validate all frozen contracts/results,7,23685656,23.685656
Model,contract_validation,Load and validate all frozen contracts/results,8,23990773,23.990773
Model,contract_validation,Load and validate all frozen contracts/results,9,25626460,25.62646
Model,contract_validation,Load and validate all frozen contracts/results,10,25114339,25.114339
Model,contract_validation,Load and validate all frozen contracts/results,11,25418253,25.418253
Model,contract_validation,Load and validate all frozen contracts/results,12,24426842,24.426842
Model,contract_validation,Load and validate all frozen contracts/results,13,25210328,25.210328
Model,contract_validation,Load and validate all frozen contracts/results,14,23416667,23.416667
Model,contract_validation,Load and validate all frozen contracts/results,15,25004084,25.004084
Model,contract_validation,Load and validate all frozen contracts/results,16,24128579,24.128579
Model,contract_validation,Load and validate all frozen contracts/results,17,25060409,25.060409
Model,contract_validation,Load and validate all frozen contracts/results,18,26070284,26.070284
Model,contract_validation,Load and validate all frozen contracts/results,19,23783678,23.783678
Model,contract_validation,Load and validate all frozen contracts/results,20,24813841,24.813841
Model,contract_validation,Load and validate all frozen contracts/results,21,24873201,24.873201
Model,contract_validation,Load and validate all frozen contracts/results,22,24981542,24.981542
Model,contract_validation,Load and validate all frozen contracts/results,23,25736083,25.736083
Model,contract_validation,Load and validate all frozen contracts/results,24,29358459,29.358459
Model,contract_validation,Load and validate all frozen contracts/results,25,26831728,26.831728
Model,contract_validation,Load and validate all frozen contracts/results,26,26945379,26.945379
Model,contract_validation,Load and validate all frozen contracts/results,27,25128144,25.128144
Model,contract_validation,Load and validate all frozen contracts/results,28,97320633,97.320633
Model,contract_validation,Load and validate all frozen contracts/results,29,25865604,25.865604
Model,contract_validation,Load and validate all frozen contracts/results,30,25090454,25.090454
Model,qubo_construction,Construct directed-flow QUBO coefficients,0,481854,0.481854
Model,qubo_construction,Construct directed-flow QUBO coefficients,1,492915,0.492915
Model,qubo_construction,Construct directed-flow QUBO coefficients,2,478729,0.478729
Model,qubo_construction,Construct directed-flow QUBO coefficients,3,474470,0.47447
Model,qubo_construction,Construct directed-flow QUBO coefficients,4,465124,0.465124
Model,qubo_construction,Construct directed-flow QUBO coefficients,5,481264,0.481264
Model,qubo_construction,Construct directed-flow QUBO coefficients,6,469071,0.469071
Model,qubo_construction,Construct directed-flow QUBO coefficients,7,462629,0.462629
Model,qubo_construction,Construct directed-flow QUBO coefficients,8,484230,0.48423
Model,qubo_construction,Construct directed-flow QUBO coefficients,9,485461,0.485461
Model,qubo_construction,Construct directed-flow QUBO coefficients,10,495350,0.49535
Model,qubo_construction,Construct directed-flow QUBO coefficients,11,464623,0.464623
Model,qubo_construction,Construct directed-flow QUBO coefficients,12,473879,0.473879
Model,qubo_construction,Construct directed-flow QUBO coefficients,13,461326,0.461326
